Loading weights:   0%|          | 0/148 [00:00<?, ?it/s]Loading weights: 100%|██████████| 148/148 [00:00<00:00, 12211.93it/s]
seed   0 shell 433 -> other      [' arbit', ' trader', 'trade', ' tribunal', 'fat']
seed   1 shell 397 -> other      ['tw', ' vertex', 'doc', 'ei', 'Dig']
seed   2 shell 900 -> gaming     [' Nath', ' Kov', ' finals', 'vp', ' Zerg']
seed   3 shell 1800 -> gaming     [' Zerg', ' player', ' I', ' i', ' tournament']
seed   4 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']
seed   5 shell 433 -> other      ['―', 'ei', 'Dig', ' Eva', 'epad']
seed   6 shell 397 -> other      [' vertex', 'doc', 'tw', 'ei', ' WP']
seed   7 shell 900 -> other      [' till', ' Modi', ' Shiv', ' Hindu', ' lakh']
seed   8 shell 1800 -> socialist  [' solidarity', ' struggle', ' anarchism', ' consciousness', ' organising']
seed   9 shell 3700 -> other      [' the', '\n', ' a', ',', ' of']
seed  10 shell 433 -> other      [' instant', ' judgment', ' arbit', 'Aust', ' Av']
seed  11 shell 397 -> other      [' vertex', 'doc', 'tw', 'ei', ' WP']
seed  12 shell 900 -> other      [' till', ' Modi', ' Shiv', ' Hindu', ' lakh']
seed  13 shell 1800 -> socialist  [' till', ' solidarity', ' agitation', ' BJP', ' Congress']
seed  14 shell 3700 -> other      [' the', ' a', '\n', ',', ' I']
seed  15 shell 433 -> other      ['ei', '―', 'fx', 'epad', ' expr']
seed  16 shell 397 -> other      [' vertex', 'doc', 'tw', ' WP', 'ei']
seed  17 shell 900 -> socialist  [' Rousse', ' equality', ' propositions', ' prolet', ' liberty']
seed  18 shell 1800 -> socialist  [' solidarity', ' struggle', ' anarchism', ' consciousness', ' organising']
seed  19 shell 3700 -> other      [' the', '\n', ' a', ',', ' of']
seed  20 shell 433 -> other      ['dt', 'epad', 'tw', 'Dig', 'course']
seed  21 shell 397 -> other      [' vertex', 'doc', 'tw', ' WP', 'Dig']
seed  22 shell 900 -> gaming     [' finals', ' Kov', ' Nath', 'vp', ' Zerg']
seed  23 shell 1800 -> socialist  [' till', ' solidarity', ' agitation', ' BJP', ' Congress']
seed  24 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']
seed  25 shell 433 -> other      ['ei', 'epad', 'tw', 'dt', 'fx']
seed  26 shell 397 -> other      [' vertex', 'doc', 'tw', ' WP', 'ei']
seed  27 shell 900 -> other      [' Modi', ' Shiv', ' till', ' Hindu', ' lakh']
seed  28 shell 1800 -> socialist  [' solidarity', ' struggle', ' anarchism', ' consciousness', ' organising']
seed  29 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']
seed  30 shell 433 -> other      [' instant', ' judgment', ' relat', ' arbit', ' Rousse']
seed  31 shell 397 -> other      ['tw', ' vertex', 'doc', 'ei', 'Dig']
seed  32 shell 900 -> socialist  [' Rousse', ' equality', ' propositions', ' prolet', ' liberty']
seed  33 shell 1800 -> socialist  [' solidarity', ' struggle', ' anarchism', ' consciousness', ' organising']
seed  34 shell 3700 -> other      [' the', '\n', ' a', ',', ' of']
seed  35 shell 433 -> other      ['―', 'Dig', 'ei', ' Eva', '!?']
seed  36 shell 397 -> other      ['doc', ' WP', 'Dig', 'tw', ' vertex']
seed  37 shell 900 -> other      [' Sorce', ' Arcane', ' Spells', ' sorcerer', ' sorce']
seed  38 shell 1800 -> socialist  [' solidarity', ' struggle', ' anarchism', ' consciousness', ' organising']
seed  39 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']
seed  40 shell 433 -> other      ['―', 'ei', 'Dig', ' Eva', 'epad']
seed  41 shell 397 -> other      ['tw', 'Dig', ' vertex', 'doc', 'ei']
seed  42 shell 900 -> socialist  [' Rousse', ' equality', ' propositions', ' prolet', ' liberty']
seed  43 shell 1800 -> socialist  [' till', ' solidarity', ' agitation', ' BJP', ' Congress']
seed  44 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']
seed  45 shell 433 -> socialist  [' arbit', ' insofar', ' judgment', ' bound', ' reserv']
seed  46 shell 397 -> other      ['ei', 'tw', ' expr', ' vertex', 'epad']
seed  47 shell 900 -> socialist  [' Rousse', ' equality', ' propositions', ' prolet', ' liberty']
seed  48 shell 1800 -> other      [' Spells', ' spell', ' spells', ' sorcerer', ' arcane']
seed  49 shell 3700 -> socialist  [' solidarity', ' struggle', ' organizing', ' everyday', ' organising']

=== basin counts over 50 random seeds ===
   other       28/50
   socialist   19/50
   gaming       3/50
