arm,family,layer,n,median_share,q25,q75,mean_share,median_n_atoms
control_gaussian_pooled,clean_last,0,375,0.370240,0.364282,0.377690,nan,nan
control_gaussian_pooled,clean_last,1,375,0.370033,0.363305,0.376952,nan,nan
control_gaussian_pooled,clean_last,2,375,0.371212,0.364450,0.377805,nan,nan
control_gaussian_pooled,clean_last,3,375,0.370857,0.364802,0.377212,nan,nan
control_gaussian_pooled,clean_last,4,375,0.371299,0.364661,0.378011,nan,nan
control_gaussian_pooled,clean_last,5,375,0.370022,0.364431,0.377196,nan,nan
control_gaussian_pooled,clean_last,6,375,0.370212,0.363592,0.376855,nan,nan
control_gaussian_pooled,clean_last,7,375,0.370580,0.363834,0.377085,nan,nan
control_gaussian_pooled,clean_last,8,375,0.370924,0.363989,0.378061,nan,nan
control_gaussian_pooled,clean_last,9,375,0.370940,0.364289,0.378224,nan,nan
control_gaussian_pooled,clean_last,10,375,0.372920,0.364604,0.380341,nan,nan
control_gaussian_pooled,clean_last,11,375,0.377013,0.369442,0.384384,nan,nan
control_gaussian_pooled,clean_mean,0,375,0.369628,0.363382,0.380154,nan,nan
control_gaussian_pooled,clean_mean,1,375,0.371144,0.363922,0.385165,nan,nan
control_gaussian_pooled,clean_mean,2,375,0.367724,0.363869,0.371132,nan,nan
control_gaussian_pooled,clean_mean,3,375,0.367284,0.363465,0.370918,nan,nan
control_gaussian_pooled,clean_mean,4,375,0.367109,0.363008,0.370563,nan,nan
control_gaussian_pooled,clean_mean,5,375,0.367141,0.363305,0.370811,nan,nan
control_gaussian_pooled,clean_mean,6,375,0.366625,0.362767,0.370481,nan,nan
control_gaussian_pooled,clean_mean,7,375,0.366725,0.362968,0.371653,nan,nan
control_gaussian_pooled,clean_mean,8,375,0.366978,0.362869,0.372041,nan,nan
control_gaussian_pooled,clean_mean,9,375,0.368549,0.364506,0.373782,nan,nan
control_gaussian_pooled,clean_mean,10,375,0.372889,0.366173,0.382007,nan,nan
control_gaussian_pooled,clean_mean,11,375,0.381064,0.369123,0.391150,nan,nan
control_gaussian_pooled,directions,0,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,1,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,2,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,3,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,4,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,5,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,6,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,7,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,8,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,9,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,10,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,directions,11,6,0.381391,0.373270,0.381837,nan,nan
control_gaussian_pooled,lang,0,375,0.368833,0.360907,0.373858,nan,nan
control_gaussian_pooled,lang,1,375,0.369316,0.365121,0.371697,nan,nan
control_gaussian_pooled,lang,2,375,0.370250,0.364906,0.383630,nan,nan
control_gaussian_pooled,lang,3,375,0.370498,0.364977,0.383964,nan,nan
control_gaussian_pooled,lang,4,375,0.373536,0.364849,0.385880,nan,nan
control_gaussian_pooled,lang,5,375,0.371234,0.362481,0.384861,nan,nan
control_gaussian_pooled,lang,6,375,0.369363,0.362357,0.382377,nan,nan
control_gaussian_pooled,lang,7,375,0.372653,0.367711,0.378444,nan,nan
control_gaussian_pooled,lang,8,375,0.373863,0.369326,0.377553,nan,nan
control_gaussian_pooled,lang,9,375,0.374968,0.371387,0.380578,nan,nan
control_gaussian_pooled,lang,10,375,0.372114,0.369448,0.378514,nan,nan
control_gaussian_pooled,lang,11,375,0.369026,0.359816,0.377568,nan,nan
control_gaussian_pooled,named,0,30,0.371475,0.365060,0.375747,nan,nan
control_gaussian_pooled,named,1,30,0.368186,0.365326,0.372666,nan,nan
control_gaussian_pooled,named,2,30,0.370134,0.359750,0.374960,nan,nan
control_gaussian_pooled,named,3,30,0.370558,0.364118,0.376206,nan,nan
control_gaussian_pooled,named,4,30,0.372533,0.361830,0.375156,nan,nan
control_gaussian_pooled,named,5,30,0.370600,0.361652,0.375406,nan,nan
control_gaussian_pooled,named,6,30,0.372478,0.363549,0.377604,nan,nan
control_gaussian_pooled,named,7,30,0.370814,0.365076,0.375570,nan,nan
control_gaussian_pooled,named,8,30,0.372165,0.368040,0.376816,nan,nan
control_gaussian_pooled,named,9,30,0.370504,0.364902,0.376477,nan,nan
control_gaussian_pooled,named,10,30,0.373224,0.367628,0.376868,nan,nan
control_gaussian_pooled,named,11,30,0.368848,0.362374,0.377506,nan,nan
control_gaussian_pooled,noise17,0,375,0.368312,0.361742,0.372954,nan,nan
control_gaussian_pooled,noise17,1,375,0.367373,0.360145,0.373224,nan,nan
control_gaussian_pooled,noise17,2,375,0.370396,0.363121,0.380750,nan,nan
control_gaussian_pooled,noise17,3,375,0.372228,0.363679,0.381775,nan,nan
control_gaussian_pooled,noise17,4,375,0.372534,0.363484,0.383130,nan,nan
control_gaussian_pooled,noise17,5,375,0.372081,0.362890,0.382060,nan,nan
control_gaussian_pooled,noise17,6,375,0.371563,0.362168,0.380206,nan,nan
control_gaussian_pooled,noise17,7,375,0.373021,0.366107,0.378592,nan,nan
control_gaussian_pooled,noise17,8,375,0.373461,0.368700,0.378202,nan,nan
control_gaussian_pooled,noise17,9,375,0.373521,0.367611,0.380231,nan,nan
control_gaussian_pooled,noise17,10,375,0.372176,0.367534,0.377393,nan,nan
control_gaussian_pooled,noise17,11,375,0.366868,0.361031,0.373571,nan,nan
control_gaussian_pooled,nullold,0,375,0.370171,0.363945,0.377591,nan,nan
control_gaussian_pooled,nullold,1,375,0.373763,0.366176,0.382226,nan,nan
control_gaussian_pooled,nullold,2,375,0.373326,0.366039,0.384265,nan,nan
control_gaussian_pooled,nullold,3,375,0.372494,0.366173,0.382725,nan,nan
control_gaussian_pooled,nullold,4,375,0.374554,0.368112,0.383191,nan,nan
control_gaussian_pooled,nullold,5,375,0.375874,0.369783,0.383392,nan,nan
control_gaussian_pooled,nullold,6,375,0.376592,0.370125,0.382994,nan,nan
control_gaussian_pooled,nullold,7,375,0.374805,0.369696,0.384063,nan,nan
control_gaussian_pooled,nullold,8,375,0.375356,0.369633,0.382235,nan,nan
control_gaussian_pooled,nullold,9,375,0.374062,0.369733,0.382206,nan,nan
control_gaussian_pooled,nullold,10,375,0.372375,0.367467,0.383225,nan,nan
control_gaussian_pooled,nullold,11,375,0.367645,0.362180,0.373399,nan,nan
control_rotation_pooled,clean_last,0,375,0.016488,0.010450,0.026642,nan,nan
control_rotation_pooled,clean_last,1,375,0.020268,0.014801,0.028026,nan,nan
control_rotation_pooled,clean_last,2,375,0.023612,0.016635,0.031600,nan,nan
control_rotation_pooled,clean_last,3,375,0.020616,0.015609,0.027272,nan,nan
control_rotation_pooled,clean_last,4,375,0.018141,0.012467,0.025341,nan,nan
control_rotation_pooled,clean_last,5,375,0.016340,0.011877,0.024648,nan,nan
control_rotation_pooled,clean_last,6,375,0.015053,0.010880,0.019155,nan,nan
control_rotation_pooled,clean_last,7,375,0.014434,0.011116,0.018627,nan,nan
control_rotation_pooled,clean_last,8,375,0.012094,0.008625,0.015602,nan,nan
control_rotation_pooled,clean_last,9,375,0.011462,0.008028,0.015121,nan,nan
control_rotation_pooled,clean_last,10,375,0.014120,0.010710,0.017273,nan,nan
control_rotation_pooled,clean_last,11,375,0.042433,0.038891,0.045940,nan,nan
control_rotation_pooled,clean_mean,0,375,0.019237,0.007823,0.026494,nan,nan
control_rotation_pooled,clean_mean,1,375,0.017415,0.011811,0.020628,nan,nan
control_rotation_pooled,clean_mean,2,375,0.024542,0.008605,0.025384,nan,nan
control_rotation_pooled,clean_mean,3,375,0.017328,0.007956,0.031105,nan,nan
control_rotation_pooled,clean_mean,4,375,0.012603,0.008765,0.030453,nan,nan
control_rotation_pooled,clean_mean,5,375,0.008677,0.007910,0.027860,nan,nan
control_rotation_pooled,clean_mean,6,375,0.009400,0.008526,0.022243,nan,nan
control_rotation_pooled,clean_mean,7,375,0.011011,0.009050,0.022803,nan,nan
control_rotation_pooled,clean_mean,8,375,0.009146,0.008413,0.011892,nan,nan
control_rotation_pooled,clean_mean,9,375,0.007358,0.005564,0.009454,nan,nan
control_rotation_pooled,clean_mean,10,375,0.008951,0.007956,0.012996,nan,nan
control_rotation_pooled,clean_mean,11,375,0.041254,0.038764,0.043279,nan,nan
control_rotation_pooled,directions,0,6,0.022804,0.013391,0.023164,nan,nan
control_rotation_pooled,directions,1,6,0.025085,0.016723,0.028339,nan,nan
