battery,item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm,top5_ids
h17,sport-00-lens,,tuning,7-8-9,2.0,all,lens,-1,47657,1,18836,0,0,0,2636.4238,18836 262 34761 284 33564
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,24,18,4346,0,0,0,353.8292,4346 284 262 9669 50196
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,177,211,284,0,0,1,846.8121,284 262 4346 257 21576
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,81,9,284,0,0,0,419.4122,284 4346 262 257 14899
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,83,180,262,0,0,1,719.8679,262 9669 284 2491 257
h17,sport-00-output,,tuning,7-8-9,2.0,all,lens,-1,1,36079,18836,1,1,1,909.4593,18836 34761 19553 33564 23761
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,17,5,284,0,0,0,601.8573,284 262 2491 14899 4346
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,101,4,284,0,0,0,751.0082,284 262 2712 4346 257
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,23,1,4346,0,0,0,517.3283,4346 284 9669 14899 262
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,212,4,284,0,0,0,886.2573,284 262 257 4346 5701
h17,sport-01-lens,,heldout,7-8-9,2.0,all,lens,-1,29019,2,262,0,0,0,2562.0945,262 9669 257 284 407
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,194,262,0,0,1,842.4794,262 284 340 2712 257
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,215,165,262,0,0,0,1062.3519,262 257 287 326 284
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,20,3,262,0,0,0,424.6564,262 4346 9669 284 11783
h17,sport-01-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,17,44,262,0,0,1,927.6609,262 284 4346 326 12217
h17,sport-01-output,,heldout,7-8-9,2.0,all,lens,-1,1,1042,22948,1,1,1,1598.9656,22948 287 262 6332 257
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,2,262,0,0,0,391.378,262 4346 9669 284 2491
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,35,3,262,0,0,0,785.4803,262 11783 4346 284 407
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,14,2,262,0,0,0,884.6792,262 4346 11783 4964 25
h17,sport-01-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,98,4,262,0,0,0,1035.3254,262 407 284 4346 326
h17,sport-02-lens,,tuning,7-8-9,2.0,all,lens,-1,50056,2,34761,0,0,0,1342.1403,34761 18836 314 6208 2011
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,1978,5041,314,0,0,1,343.845,314 17362 19709 9957 383
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,1207,3012,314,0,0,1,377.6693,314 25911 9957 17362 2011
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,442,1750,314,0,0,1,581.0827,314 9957 12771 17362 383
h17,sport-02-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,7254,7261,314,0,0,1,851.6053,314 383 25911 17362 2011
h17,sport-02-output,,tuning,7-8-9,2.0,all,lens,-1,1,47349,18836,1,1,1,1033.1444,18836 34761 20872 554 317
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,2386,606,314,0,0,0,1044.7333,314 383 9957 17362 17011
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,2399,1134,314,0,0,0,300.2114,314 17362 9957 383 15872
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,2786,501,314,0,0,0,524.4026,314 25911 9957 17362 383
h17,sport-02-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,8933,2173,314,0,0,0,887.7681,314 9957 17362 317 383
h17,sport-03-lens,,heldout,7-8-9,2.0,all,lens,-1,1,49990,18836,1,1,1,3210.1865,18836 262 34761 284 257
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,4,3,4346,1,0,0,600.4189,4346 262 22948 18836 14899
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,11,4,4346,0,0,0,643.511,4346 262 284 22948 257
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,25,14,262,0,0,0,864.0945,262 284 4346 14899 257
h17,sport-03-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,191,7,4346,0,0,0,623.3732,4346 262 257 12217 9669
h17,sport-03-output,,heldout,7-8-9,2.0,all,lens,-1,1,30092,18836,1,1,1,918.6713,18836 34761 287 19553 262
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,17,1,4346,0,0,0,382.4273,4346 14899 20790 13126 284
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,49,1,4346,0,0,0,469.9269,4346 50196 262 14899 2491
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,15,1,4346,0,0,0,517.1378,4346 14899 50196 20790 284
h17,sport-03-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,66,4,262,0,0,0,885.1426,262 284 257 4346 12478
h17,sport-04-lens,,tuning,7-8-9,2.0,all,lens,-1,1,49957,16381,1,1,1,2812.2744,16381 34845 46825 10419 262
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,98,24,13126,0,0,0,816.6317,13126 20790 284 4346 2712
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,124,1,22948,0,0,0,960.5308,22948 262 4346 2491 16259
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,73,39,262,0,0,0,629.4266,262 4346 2712 2491 16259
h17,sport-04-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,37,22,4346,0,0,0,721.091,4346 20790 262 18836 16259
h17,sport-04-output,,tuning,7-8-9,2.0,all,lens,-1,1,48693,16381,1,1,1,1219.4227,16381 10419 46825 34845 41758
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,21,1,4346,0,0,0,389.7977,4346 22948 20790 13126 14899
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,42,1,4346,0,0,0,395.1921,4346 262 13126 14899 22948
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,33,1,4346,0,0,0,692.0812,4346 13126 14899 262 2491
h17,sport-04-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,19,1,4346,0,0,0,235.5115,4346 12217 262 22948 284
h17,sport-05-lens,,heldout,7-8-9,2.0,all,lens,-1,1,14022,18836,1,1,1,236.9238,18836 1444 34761 262 257
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,44,7,262,0,0,0,1072.233,262 257 3115 616 4152
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,260,23,262,0,0,0,715.5895,262 257 23186 616 36254
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,583,2,262,0,0,0,1257.8512,262 9669 257 36254 4673
h17,sport-05-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,270,22,262,0,0,0,1100.8088,262 257 530 4346 616
h17,sport-05-output,,heldout,7-8-9,2.0,all,lens,-1,1,41256,18836,1,1,1,1074.7124,18836 34761 19553 287 1067
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,9,7,262,0,0,0,405.2517,262 22948 12217 9669 257
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,65,4,262,0,0,0,159.586,262 257 9669 4346 616
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,53,3,262,0,0,0,522.0151,262 9669 4346 50196 20790
h17,sport-05-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,444,3,262,0,0,0,887.1187,262 257 4346 1444 287
h17,sport-06-lens,,tuning,7-8-9,2.0,all,lens,-1,1,29538,18836,1,1,1,336.3858,18836 34761 1444 262 257
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,805,63,262,0,0,0,923.959,262 523 1479 257 655
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,759,165,257,0,0,0,970.8516,257 262 523 517 284
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,2503,21,3221,0,0,0,1258.8872,3221 262 407 845 257
h17,sport-06-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,364,82,262,0,0,0,1100.6877,262 530 257 616 284
h17,sport-06-output,,tuning,7-8-9,2.0,all,lens,-1,1,40589,18836,1,1,1,1055.3508,18836 34761 19553 287 262
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,120,14,262,0,0,0,740.8155,262 616 257 530 284
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,58,2,262,0,0,0,446.6966,262 4346 284 257 616
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,111,5,262,0,0,0,524.7212,262 407 9669 284 4346
h17,sport-06-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,1358,21,257,0,0,0,891.246,257 262 530 284 2495
h17,sport-07-lens,,heldout,7-8-9,2.0,all,lens,-1,44219,1,18836,0,0,0,2662.7463,18836 262 34761 33564 284
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,30,15,4346,0,0,0,837.7501,4346 14899 22948 262 9669
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,18,41,4346,0,0,1,406.5388,4346 14899 50196 9669 262
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,55,5,4346,0,0,0,432.2491,4346 262 284 13126 18836
h17,sport-07-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,69,146,9669,0,0,1,721.2347,9669 262 2008 4346 2491
h17,sport-07-output,,heldout,7-8-9,2.0,all,lens,-1,1,33384,18836,1,1,1,936.3152,18836 34761 19553 287 33564
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,14,1,4346,0,0,0,621.7077,4346 14899 9283 2491 20790
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,17,1,4346,0,0,0,281.1506,4346 14899 12217 262 9669
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,21,1,4346,0,0,0,524.7244,4346 9669 14899 50196 20790
h17,sport-07-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,223,4,262,0,0,0,889.5965,262 284 257 4346 12217
h17,sport-08-lens,,tuning,7-8-9,2.0,all,lens,-1,1,49261,18836,1,1,1,3218.6741,18836 262 34761 284 19553
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,98,32,262,0,0,0,667.0842,262 257 284 2491 4346
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,34,11,262,0,0,0,975.837,262 284 2712 9669 4346
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,19,12,262,0,0,0,864.3085,262 4346 284 14899 16259
h17,sport-08-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,224,8,262,0,0,0,625.8029,262 4346 9669 12217 257
h17,sport-08-output,,tuning,7-8-9,2.0,all,lens,-1,1,31400,18836,1,1,1,976.8692,18836 34761 287 262 11
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,89,1,4346,0,0,0,793.0879,4346 262 2491 284 257
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,16,1,4346,0,0,0,145.7368,4346 14899 284 262 11783
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,17,1,4346,0,0,0,521.2776,4346 9669 14899 50196 20790
h17,sport-08-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,93,2,262,0,0,0,887.7292,262 4346 284 12217 257
h17,sport-09-lens,,heldout,7-8-9,2.0,all,lens,-1,50136,1,18836,0,0,0,3222.1433,18836 262 407 991 257
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,21,69,284,0,0,1,328.7688,284 262 407 4346 257
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,738,1266,262,0,0,1,1159.134,262 257 407 783 625
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,41,7,262,0,0,0,392.1251,262 4346 407 284 783
h17,sport-09-lens,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,25,16,4346,0,0,0,515.2046,4346 284 11783 9669 262
h17,sport-09-output,,heldout,7-8-9,2.0,all,lens,-1,1,37932,18836,1,1,1,1093.3442,18836 34761 19553 23761 287
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,0,27,14,262,0,0,0,723.4837,262 257 284 9283 9669
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_source,1,23,1,4346,0,0,0,460.984,4346 262 284 407 257
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,0,42,1,4346,0,0,0,517.3428,4346 9669 284 262 407
h17,sport-09-output,,heldout,7-8-9,2.0,all,randdir_shared_pair,1,220,3,257,0,0,0,886.0685,257 262 4346 284 530
h17,sport-10-lens,,tuning,7-8-9,2.0,all,lens,-1,1,7998,18836,1,1,1,267.2707,18836 34761 262 326 6208
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,28,15,14899,0,0,0,1049.6619,14899 262 2159 4346 11783
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,29,5,4346,0,0,0,470.6327,4346 262 9283 11783 9669
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,123,1,9669,0,0,0,1259.3834,9669 262 11783 20790 257
h17,sport-10-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,66,7,262,0,0,0,1100.871,262 4346 9283 22948 257
h17,sport-10-output,,tuning,7-8-9,2.0,all,lens,-1,1,35380,18836,1,1,1,997.5721,18836 34761 287 19553 262
h17,sport-10-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,39,1,4346,0,0,0,589.8206,4346 262 9669 9283 5701
h17,sport-10-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,26,1,4346,0,0,0,650.9977,4346 262 12217 22948 9283
h17,sport-10-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,28,1,4346,0,0,0,520.1475,4346 9669 9283 12217 262
h17,sport-10-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,108,1,4346,0,0,0,893.4419,4346 9283 5701 262 12217
h17,sport-11-lens,,heldout,7-8-9,2.0,all,lens,-1,1,29514,16381,1,1,1,493.6445,16381 34845 10419 46825 36762
h17,sport-11-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,0,2,3,262,1,0,1,1273.7733,262 16381 9669 11783 14899
h17,sport-11-lens,,heldout,7-8-9,2.0,all,randdir_shared_source,1,24,29,262,0,0,1,1011.6445,262 616 257 11783 9283
