battery,item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm,top5_ids,sel_source,sel_target
h17,sport-00-lens,,tuning,7-8-9,2.0,all,lens,-1,47657,1,18836,0,0,0,2636.4238,18836 262 34761 284 33564, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,0,24,18,4346,0,0,0,353.8292,4346 284 262 9669 50196, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_source,1,177,211,284,0,0,1,846.8121,284 262 4346 257 21576, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,81,9,284,0,0,0,419.4122,284 4346 262 257 14899, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,83,180,262,0,0,1,719.8679,262 9669 284 2491 257, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_by_token,0,21,7,4346,0,0,0,462.4888,4346 284 262 257 20790, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_by_token,1,54,57,262,0,0,1,648.986,262 284 4346 257 22948, cricket, skiing
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,0,332,274,262,0,0,0,759.377,262 4346 284 257 11, cycling, cricket
h17,sport-00-lens,,tuning,7-8-9,2.0,all,randdir_mirrored,1,880,280,262,0,0,0,609.7582,262 2491 4346 284 257, tennis, surfing
h17,sport-00-output,,tuning,7-8-9,2.0,all,lens,-1,1,36079,18836,1,1,1,909.4593,18836 34761 19553 33564 23761, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,0,17,5,284,0,0,0,601.8573,284 262 2491 14899 4346, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_source,1,101,4,284,0,0,0,751.0082,284 262 2712 4346 257, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,0,23,1,4346,0,0,0,517.3283,4346 284 9669 14899 262, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_shared_pair,1,212,4,284,0,0,0,886.2573,284 262 257 4346 5701, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_by_token,0,27,1,4346,0,0,0,683.6016,4346 262 2491 284 14899, football, cricket
h17,sport-00-output,,tuning,7-8-9,2.0,all,randdir_by_token,1,478,23,262,0,0,0,1094.4144,262 284 407 4964 11, football, cricket
