item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm
sport-00-lens,,tuning,3,0.5,all,lens,-1,21,7,4346,0,0,0,
sport-00-lens,,tuning,3,0.5,all,randdir,0,11,16,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,all,randdir,1,11,16,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,all,randnorm,0,12,16,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,all,randnorm,1,12,15,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,last,lens,-1,10,17,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,last,randdir,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,last,randdir,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,last,randnorm,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,3,0.5,last,randnorm,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,all,lens,-1,41,3,4346,0,0,0,
sport-00-lens,,tuning,3,1.0,all,randdir,0,11,21,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,all,randdir,1,9,16,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,all,randnorm,0,14,24,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,all,randnorm,1,11,15,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,last,lens,-1,9,18,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,last,randdir,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,last,randdir,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,last,randnorm,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,3,1.0,last,randnorm,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,all,lens,-1,185,1,18836,0,0,0,
sport-00-lens,,tuning,3,2.0,all,randdir,0,16,30,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,all,randdir,1,8,16,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,all,randnorm,0,21,42,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,all,randnorm,1,11,19,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,last,lens,-1,8,19,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,last,randdir,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,last,randdir,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,last,randnorm,0,12,13,4346,0,0,1,
sport-00-lens,,tuning,3,2.0,last,randnorm,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,all,lens,-1,26,5,4346,0,0,0,
sport-00-lens,,tuning,4,0.5,all,randdir,0,12,15,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,all,randdir,1,9,15,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,all,randnorm,0,11,15,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,all,randnorm,1,10,14,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,last,lens,-1,10,17,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,last,randdir,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,last,randdir,1,12,15,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,last,randnorm,0,12,14,4346,0,0,1,
sport-00-lens,,tuning,4,0.5,last,randnorm,1,12,15,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,all,lens,-1,57,2,4346,0,0,0,
sport-00-lens,,tuning,4,1.0,all,randdir,0,11,15,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,all,randdir,1,9,12,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,all,randnorm,0,11,16,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,all,randnorm,1,9,13,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,last,lens,-1,8,18,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,last,randdir,0,12,13,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,last,randdir,1,11,15,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,last,randnorm,0,12,13,4346,0,0,1,
sport-00-lens,,tuning,4,1.0,last,randnorm,1,11,15,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,all,lens,-1,271,1,18836,0,0,0,
sport-00-lens,,tuning,4,2.0,all,randdir,0,11,15,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,all,randdir,1,15,21,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,all,randnorm,0,11,18,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,all,randnorm,1,10,13,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,last,lens,-1,8,19,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,last,randdir,0,12,13,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,last,randdir,1,12,15,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,last,randnorm,0,12,13,4346,0,0,1,
sport-00-lens,,tuning,4,2.0,last,randnorm,1,11,15,4346,0,0,1,
sport-00-lens,,tuning,5,0.5,all,lens,-1,18,9,4346,0,0,0,
sport-00-lens,,tuning,5,0.5,all,randdir,0,9,16,4346,0,0,1,
sport-00-lens,,tuning,5,0.5,all,randdir,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,5,0.5,all,randnorm,0,9,15,4346,0,0,1,
sport-00-lens,,tuning,5,0.5,all,randnorm,1,12,13,4346,0,0,1,
sport-00-lens,,tuning,5,0.5,last,lens,-1,9,17,4346,0,0,1,
