item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm
France->Germany,capital,tuning,3,0.5,all,lens,-1,37,1,6342,0,0,0,
France->Germany,capital,tuning,3,0.5,all,randdir,0,298,1,6342,0,0,0,
France->Germany,capital,tuning,3,0.5,all,randdir,1,301,1,6342,0,0,0,
France->Germany,capital,tuning,3,0.5,all,randnorm,0,312,2,45996,0,0,0,
France->Germany,capital,tuning,3,0.5,all,randnorm,1,262,1,6342,0,0,0,
France->Germany,capital,tuning,3,1.0,all,lens,-1,3,47,34923,1,0,1,
France->Germany,capital,tuning,3,1.0,all,randdir,0,291,2,45996,0,0,0,
France->Germany,capital,tuning,3,1.0,all,randdir,1,305,1,6342,0,0,0,
France->Germany,capital,tuning,3,1.0,all,randnorm,0,271,2,45996,0,0,0,
France->Germany,capital,tuning,3,1.0,all,randnorm,1,196,1,6342,0,0,0,
France->Germany,capital,tuning,3,2.0,all,lens,-1,2,325,34923,1,0,1,
France->Germany,capital,tuning,3,2.0,all,randdir,0,265,2,45996,0,0,0,
France->Germany,capital,tuning,3,2.0,all,randdir,1,300,1,6342,0,0,0,
France->Germany,capital,tuning,3,2.0,all,randnorm,0,144,2,45996,0,0,0,
France->Germany,capital,tuning,3,2.0,all,randnorm,1,130,1,6342,0,0,0,
France->Germany,capital,tuning,4,0.5,all,lens,-1,41,1,6342,0,0,0,
France->Germany,capital,tuning,4,0.5,all,randdir,0,289,2,45996,0,0,0,
France->Germany,capital,tuning,4,0.5,all,randdir,1,321,1,6342,0,0,0,
France->Germany,capital,tuning,4,0.5,all,randnorm,0,301,1,6342,0,0,0,
France->Germany,capital,tuning,4,0.5,all,randnorm,1,343,1,6342,0,0,0,
France->Germany,capital,tuning,4,1.0,all,lens,-1,4,19,34923,1,0,1,
France->Germany,capital,tuning,4,1.0,all,randdir,0,255,2,45996,0,0,0,
France->Germany,capital,tuning,4,1.0,all,randdir,1,335,1,6342,0,0,0,
France->Germany,capital,tuning,4,1.0,all,randnorm,0,287,1,6342,0,0,0,
France->Germany,capital,tuning,4,1.0,all,randnorm,1,372,1,6342,0,0,0,
France->Germany,capital,tuning,4,2.0,all,lens,-1,2,146,34923,1,0,1,
France->Germany,capital,tuning,4,2.0,all,randdir,0,160,1,6342,0,0,0,
France->Germany,capital,tuning,4,2.0,all,randdir,1,349,1,6342,0,0,0,
France->Germany,capital,tuning,4,2.0,all,randnorm,0,276,1,6342,0,0,0,
France->Germany,capital,tuning,4,2.0,all,randnorm,1,371,1,6342,0,0,0,
France->Germany,capital,tuning,5,0.5,all,lens,-1,26,2,520,0,0,0,
France->Germany,capital,tuning,5,0.5,all,randdir,0,356,2,45996,0,0,0,
France->Germany,capital,tuning,5,0.5,all,randdir,1,327,2,45996,0,0,0,
France->Germany,capital,tuning,5,0.5,all,randnorm,0,369,2,45996,0,0,0,
France->Germany,capital,tuning,5,0.5,all,randnorm,1,363,2,45996,0,0,0,
France->Germany,capital,tuning,5,1.0,all,lens,-1,2,45,34923,1,0,1,
France->Germany,capital,tuning,5,1.0,all,randdir,0,393,2,45996,0,0,0,
France->Germany,capital,tuning,5,1.0,all,randdir,1,341,2,45996,0,0,0,
France->Germany,capital,tuning,5,1.0,all,randnorm,0,405,2,45996,0,0,0,
France->Germany,capital,tuning,5,1.0,all,randnorm,1,420,2,45996,0,0,0,
France->Germany,capital,tuning,5,2.0,all,lens,-1,1,724,11307,1,1,1,
