item_id,func,split,layers,alpha,posmode,arm,seed,good_rank,bad_rank,argmax_tok,in_top5,is_top1,beats_bad,patch_norm
banana-grow,,tuning,3,0.5,all_no_bos,lens,-1,396,2,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randdir,0,397,3,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randdir,1,417,3,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randdir,2,441,3,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randnorm,0,396,3,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randnorm,1,381,3,262,0,0,0,
banana-grow,,tuning,3,0.5,all_no_bos,randnorm,2,409,2,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,lens,-1,396,2,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randdir,0,397,3,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randdir,1,417,3,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randdir,2,441,3,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randnorm,0,396,3,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randnorm,1,381,3,262,0,0,0,
banana-grow,,tuning,3,0.5,from_mention,randnorm,2,409,2,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,lens,-1,459,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randdir,0,441,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randdir,1,470,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randdir,2,462,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randnorm,0,443,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randnorm,1,464,3,262,0,0,0,
banana-grow,,tuning,3,0.5,answer_only,randnorm,2,463,3,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,lens,-1,330,2,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randdir,0,350,3,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randdir,1,348,3,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randdir,2,414,2,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randnorm,0,315,3,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randnorm,1,278,3,262,0,0,0,
banana-grow,,tuning,3,1.0,all_no_bos,randnorm,2,316,2,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,lens,-1,330,2,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randdir,0,350,3,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randdir,1,348,3,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randdir,2,414,2,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randnorm,0,315,3,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randnorm,1,278,3,262,0,0,0,
banana-grow,,tuning,3,1.0,from_mention,randnorm,2,316,2,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,lens,-1,456,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randdir,0,419,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randdir,1,477,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randdir,2,463,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randnorm,0,424,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randnorm,1,470,3,262,0,0,0,
banana-grow,,tuning,3,1.0,answer_only,randnorm,2,462,2,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,lens,-1,279,2,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randdir,0,267,3,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randdir,1,191,3,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randdir,2,363,2,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randnorm,0,166,2,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randnorm,1,150,2,262,0,0,0,
banana-grow,,tuning,3,2.0,all_no_bos,randnorm,2,104,2,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,lens,-1,279,2,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randdir,0,267,3,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randdir,1,191,3,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randdir,2,363,2,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randnorm,0,166,2,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randnorm,1,150,2,262,0,0,0,
banana-grow,,tuning,3,2.0,from_mention,randnorm,2,104,2,262,0,0,0,
banana-grow,,tuning,3,2.0,answer_only,lens,-1,460,2,262,0,0,0,
banana-grow,,tuning,3,2.0,answer_only,randdir,0,380,3,262,0,0,0,
banana-grow,,tuning,3,2.0,answer_only,randdir,1,471,2,262,0,0,0,
banana-grow,,tuning,3,2.0,answer_only,randdir,2,463,2,262,0,0,0,
