Loading weights:   0%|          | 0/292 [00:00<?, ?it/s]Loading weights: 100%|██████████| 292/292 [00:00<00:00, 12956.34it/s]
[  1m45s +105.60s] fit: n_layers=24 d_model=1024, fitting 23 source layers (target=L23) on 100 prompts
[  6m25s +279.41s]   prompt 1/100  seq_len=128 n_valid=111  279s  max||J||/sqrt(d)=1.326  max_d_mean=nan
[ 11m00s +275.50s]   prompt 2/100  seq_len=128 n_valid=111  275s  max||J||/sqrt(d)=1.496  max_d_mean=5.76e-01
[ 15m40s +279.91s]   prompt 3/100  seq_len=128 n_valid=111  280s  max||J||/sqrt(d)=1.575  max_d_mean=3.38e-01
[ 20m08s +267.95s]   prompt 4/100  seq_len=128 n_valid=111  268s  max||J||/sqrt(d)=1.323  max_d_mean=2.28e-01
[ 24m42s +273.98s]   prompt 5/100  seq_len=128 n_valid=111  274s  max||J||/sqrt(d)=1.363  max_d_mean=2.16e-01
[ 28m57s +255.30s]   prompt 6/100  seq_len=128 n_valid=111  255s  max||J||/sqrt(d)=1.475  max_d_mean=2.28e-01
[ 33m15s +258.34s]   prompt 7/100  seq_len=128 n_valid=111  258s  max||J||/sqrt(d)=1.320  max_d_mean=1.24e-01
[ 37m30s +254.24s]   prompt 8/100  seq_len=128 n_valid=111  254s  max||J||/sqrt(d)=1.512  max_d_mean=1.43e-01
[ 41m51s +261.51s]   prompt 9/100  seq_len=128 n_valid=111  261s  max||J||/sqrt(d)=1.481  max_d_mean=2.02e-01
[ 46m08s +256.72s]   prompt 10/100  seq_len=128 n_valid=111  257s  max||J||/sqrt(d)=1.347  max_d_mean=1.47e-01
[ 50m19s +250.61s]   prompt 11/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.298  max_d_mean=7.97e-02
[ 54m30s +251.79s]   prompt 12/100  seq_len=128 n_valid=111  252s  max||J||/sqrt(d)=1.391  max_d_mean=8.57e-02
[ 58m45s +254.41s]   prompt 13/100  seq_len=128 n_valid=111  254s  max||J||/sqrt(d)=1.284  max_d_mean=8.45e-02
[  1h02m +250.61s]   prompt 14/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.334  max_d_mean=8.32e-02
[  1h07m +249.05s]   prompt 15/100  seq_len=128 n_valid=111  249s  max||J||/sqrt(d)=1.300  max_d_mean=8.23e-02
[  1h11m +252.71s]   prompt 16/100  seq_len=128 n_valid=111  253s  max||J||/sqrt(d)=1.323  max_d_mean=7.16e-02
[  1h15m +253.36s]   prompt 17/100  seq_len=128 n_valid=111  253s  max||J||/sqrt(d)=1.330  max_d_mean=6.97e-02
[  1h19m +241.81s]   prompt 18/100  seq_len=128 n_valid=111  242s  max||J||/sqrt(d)=1.413  max_d_mean=7.55e-02
[  1h23m +249.05s]   prompt 19/100  seq_len=128 n_valid=111  249s  max||J||/sqrt(d)=1.448  max_d_mean=8.09e-02
[  1h27m +251.46s]   prompt 20/100  seq_len=128 n_valid=111  251s  max||J||/sqrt(d)=1.460  max_d_mean=6.76e-02
[  1h32m +251.43s]   prompt 21/100  seq_len=128 n_valid=111  251s  max||J||/sqrt(d)=1.343  max_d_mean=5.98e-02
[  1h36m +252.04s]   prompt 22/100  seq_len=128 n_valid=111  252s  max||J||/sqrt(d)=1.423  max_d_mean=5.35e-02
[  1h40m +253.92s]   prompt 23/100  seq_len=128 n_valid=111  254s  max||J||/sqrt(d)=1.426  max_d_mean=8.49e-02
[  1h44m +249.27s]   prompt 24/100  seq_len=128 n_valid=111  249s  max||J||/sqrt(d)=1.389  max_d_mean=5.03e-02
[  1h48m +248.17s]   prompt 25/100  seq_len=128 n_valid=111  248s  max||J||/sqrt(d)=1.385  max_d_mean=5.57e-02
[  1h52m +250.31s]   prompt 26/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.383  max_d_mean=3.67e-02
[  1h57m +248.77s]   prompt 27/100  seq_len=128 n_valid=111  249s  max||J||/sqrt(d)=1.326  max_d_mean=4.15e-02
[  2h01m +251.75s]   prompt 28/100  seq_len=128 n_valid=111  251s  max||J||/sqrt(d)=1.435  max_d_mean=4.56e-02
[  2h05m +250.94s]   prompt 29/100  seq_len=128 n_valid=111  251s  max||J||/sqrt(d)=1.339  max_d_mean=3.40e-02
[  2h09m +232.78s]   prompt 30/100  seq_len=117 n_valid=100  233s  max||J||/sqrt(d)=1.311  max_d_mean=2.95e-02
[  2h13m +250.33s]   prompt 31/100  seq_len=128 n_valid=111  250s  max||J||/sqrt(d)=1.420  max_d_mean=3.24e-02
[  2h17m +256.04s]   prompt 32/100  seq_len=128 n_valid=111  256s  max||J||/sqrt(d)=1.382  max_d_mean=3.17e-02
